q1,q2,q3,q4,q5a,q5b,q5c,q5d,q5e,q5f,q5g,q5h,q5i,q5j,q6a,q6b,q6c,q6d,q6e,q6f,q6g,q6h,q7,q8,q9,q10,q11,q12,q13,Total,emotional_total,stable_total,personality,rating
132,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Pricing', 'Rating', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Detailed Menu', 'Comments from Other Users']",5,4,3,4,4,4,5,4,4,4,2,5,4,2,4,1,2,0,4,4,3,2,5,文記車仔麵,78,17,7,emotional,3.5
133,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",3,5,4,4,5,4,4,5,4,4,2,4,5,1,3,2,1,1,5,1,2,1,5,瑞記咖啡,78,16,6,emotional,3.5
134,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Pricing', 'Detailed Menu', 'Comments from Other Users', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",3,5,4,5,3,4,5,5,3,2,4,2,2,4,1,4,2,0,5,1,2,5,5,富記粥品,64,7,14,stable,3.5
135,1,1,"['Pricing', 'Appealing images', 'Comments from Other Users']","['Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Rating', 'Detailed Menu', 'Comments from Other Users']",3,3,3,3,3,1,1,1,1,4,2,5,4,2,5,2,3,1,3,4,1,5,2,鳳城酒家,59,18,9,emotional,3.5
136,1,1,"['Pricing', 'Appealing images', 'Comments from Other Users']","['Appealing images', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu', 'Comments from Other Users']",3,3,4,4,5,4,5,4,5,1,2,3,2,4,2,5,3,1,7,1,4,2,4,甘の季節,61,8,14,stable,3.5
137,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Rating', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Comments from Other Users', 'Discounts or Promotions', 'Detailed Menu', 'Pricing']",5,4,4,4,5,4,4,5,4,5,2,4,4,3,4,1,2,1,4,4,2,5,3,蘭芳園,80,17,8,emotional,3.0
138,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",5,5,4,4,4,5,5,4,5,5,1,4,5,2,5,2,2,1,2,4,2,4,5,勝香園,86,19,7,emotional,3.5
139,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users', 'Detailed Menu', 'Appealing images', 'Rating']",4,5,4,4,4,3,5,3,5,5,2,5,5,2,3,2,3,0,2,3,2,4,4,甘牌燒鵝,78,18,9,emotional,3.0
140,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Comments from Other Users']","['Detailed Menu', 'Comments from Other Users', 'Pricing', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",5,4,4,5,3,3,4,4,3,4,2,4,5,3,3,3,1,1,4,4,2,4,4,紅茶冰室,74,16,9,emotional,3.5
141,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",5,4,5,5,5,4,5,5,5,5,1,5,5,2,5,1,1,1,4,4,2,4,3,甘牌燒鵝,89,20,5,emotional,3.0
142,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Appealing images']",5,3,5,3,5,4,5,4,4,4,1,4,4,1,5,3,3,0,2,3,1,2,5,沾仔記,78,17,8,emotional,3.5
143,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",4,4,4,3,5,5,4,5,4,1,5,1,1,5,2,3,3,1,3,3,2,4,5,周記點心,60,5,16,stable,4.0
144,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",5,5,5,4,5,5,5,5,5,5,1,5,5,1,5,2,1,1,5,1,2,2,4,麥文記,89,20,5,emotional,3.5
145,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Pricing', 'Detailed Menu']",1,1,1,2,1,2,3,3,3,4,3,1,1,4,1,5,3,1,3,6,2,4,4,肥姐小食店,41,7,15,stable,3.5
146,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Comments from Other Users', 'Pricing', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu']",2,1,3,1,2,1,1,1,2,4,3,4,5,2,5,2,1,1,3,5,2,2,4,車仔麵之家,54,18,8,emotional,3.5
147,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Comments from Other Users', 'Appealing images', 'Detailed Menu', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",5,5,5,4,5,4,5,5,3,5,2,4,5,2,5,2,1,0,5,2,2,1,3,妹記大排檔,81,19,7,emotional,3.5
148,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",5,5,5,4,3,5,5,5,3,5,2,5,5,1,4,2,2,0,3,4,1,4,5,劉森記麵家,85,19,7,emotional,3.5
149,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Pricing', 'Rating', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users', 'Appealing images', 'Detailed Menu']",5,3,5,5,3,5,4,5,4,5,2,3,4,3,4,1,2,1,4,4,2,4,5,譚仔米線,80,16,8,emotional,4.0
150,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Pricing', 'Detailed Menu', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users']",1,3,3,2,2,1,1,3,3,4,2,3,5,1,5,3,2,0,3,4,2,2,4,富記粥品,58,17,8,emotional,3.5
151,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Comments from Other Users']","['Detailed Menu', 'Comments from Other Users', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images']",4,5,5,5,3,5,3,4,5,5,1,4,3,2,4,2,1,1,4,4,2,5,4,瑞記咖啡,82,16,6,emotional,3.5
152,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",4,5,4,4,4,4,4,5,3,4,2,4,5,1,3,1,2,0,6,2,2,1,5,源記餐廳,77,16,6,emotional,3.5
153,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Rating', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users', 'Pricing', 'Appealing images']",4,4,4,5,5,5,5,4,5,5,3,5,4,1,5,1,2,0,3,4,2,1,4,富記粥品,82,19,7,emotional,3.5
154,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Appealing images', 'Detailed Menu', 'Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",4,4,5,5,5,4,5,4,4,5,2,3,5,1,4,2,1,0,3,4,2,4,3,蓮香居,82,17,6,emotional,3.5
155,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",4,5,4,5,4,5,5,4,5,4,2,5,5,1,5,2,2,1,6,1,1,5,5,裕興咖啡,87,19,7,emotional,4.0
156,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Detailed Menu', 'Pricing', 'Appealing images', 'Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",2,4,1,1,1,1,1,1,1,3,1,4,3,1,4,2,1,0,5,1,2,3,3,鳳城酒家,52,14,5,emotional,3.5
157,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu', 'Rating', 'Appealing images', 'Pricing']",5,4,5,4,4,4,5,3,5,5,1,5,5,3,3,2,2,0,3,4,2,2,1,裕興咖啡,76,18,8,emotional,4.0
158,1,1,"['Pricing', 'Appealing images', 'Comments from Other Users', 'Food Descriptions']","['Comments from Other Users', 'Detailed Menu', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",4,4,5,4,4,4,5,3,5,2,5,3,3,5,1,4,3,0,4,4,3,2,4,興記菜館,60,9,17,stable,3.0
159,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",3,3,3,4,3,2,2,3,2,4,2,4,4,3,3,3,1,1,3,3,1,2,3,蘭芳園,60,15,9,emotional,3.0
160,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",1,4,2,2,1,4,2,1,1,5,3,3,5,1,3,1,2,1,3,3,1,3,3,泰昌蛋塔,57,16,7,emotional,3.5
161,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu', 'Pricing', 'Appealing images']",5,3,4,5,5,5,4,4,3,4,1,4,4,2,4,2,2,1,2,3,2,4,1,金華冰廳,76,16,7,emotional,3.5
162,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Rating', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users', 'Detailed Menu', 'Pricing']",4,4,5,5,5,4,5,5,5,4,2,5,5,1,5,1,1,1,2,4,2,2,3,麥奀記,85,19,5,emotional,3.5
163,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Appealing images', 'Pricing', 'Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu']",4,3,5,3,5,4,4,5,4,4,2,3,4,2,3,2,1,1,2,3,2,1,1,新斗記,70,14,7,emotional,3.5
164,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Comments from Other Users', 'Pricing', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images']",1,2,1,1,2,4,1,2,1,4,2,3,5,1,4,3,1,1,4,6,1,5,5,周記點心,58,16,7,emotional,4.0
165,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Comments from Other Users']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Detailed Menu']",5,3,4,5,5,5,5,4,3,5,2,4,5,2,5,2,3,0,1,2,5,2,4,麥文記,79,19,9,emotional,3.5
166,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu', 'Appealing images', 'Pricing']",5,5,5,4,4,5,4,5,4,5,1,5,4,1,5,3,2,0,1,1,5,1,3,源記餐廳,81,19,7,emotional,3.5
167,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Comments from Other Users', 'Detailed Menu', 'Appealing images', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",4,2,2,3,2,2,4,3,1,3,3,4,4,2,3,3,1,1,3,3,1,4,5,良記餐廳,61,14,9,emotional,3.5
168,1,1,"['Pricing', 'Appealing images', 'Comments from Other Users']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",3,4,4,4,4,5,3,3,5,3,1,4,4,1,4,3,3,0,6,1,2,4,3,坤記糕品,73,15,8,emotional,3.0
169,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Rating', 'Pricing', 'Comments from Other Users', 'Detailed Menu', 'Discounts or Promotions']",3,4,3,5,4,3,3,5,4,3,2,3,4,2,4,2,1,1,2,5,1,4,4,良記餐廳,73,14,7,emotional,3.5
170,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Comments from Other Users', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Pricing']",3,4,4,5,4,4,5,4,3,5,2,4,3,2,5,3,2,0,4,5,2,5,4,甘の季節,77,17,9,emotional,3.5
171,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Appealing images']",5,3,4,5,3,4,5,5,3,3,1,5,4,2,5,3,2,0,5,2,2,4,4,新香園,78,17,8,emotional,3.5
172,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Detailed Menu', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users', 'Appealing images', 'Rating']",5,5,5,4,4,3,4,4,5,5,2,4,5,1,4,2,3,1,1,1,5,1,4,何洪記粥麵專家,78,18,8,emotional,3.5
173,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Detailed Menu', 'Pricing']",4,4,3,4,3,4,5,4,4,5,3,3,4,2,4,2,2,0,1,1,5,1,1,強記美食,68,16,9,emotional,3.5
174,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",4,4,5,5,5,4,4,3,5,5,2,3,4,1,4,1,2,1,5,1,1,5,4,新香園,82,16,6,emotional,3.5
175,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Pricing', 'Detailed Menu', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users']",4,4,2,3,3,3,1,1,3,4,2,4,3,2,3,1,3,0,3,5,1,4,5,周記點心,63,14,8,emotional,4.0
176,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Comments from Other Users']","['Comments from Other Users', 'Detailed Menu', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images']",5,4,4,4,5,4,4,3,4,4,3,4,5,3,5,1,2,0,3,3,1,2,4,陸羽茶室,76,18,9,emotional,3.5
177,1,1,"['Pricing', 'Appealing images', 'Comments from Other Users']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",5,5,5,5,4,3,5,4,5,5,3,4,5,1,5,1,1,0,3,6,2,1,5,勝香園,84,19,6,emotional,3.5
178,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Detailed Menu', 'Discounts or Promotions']","['Pricing', 'Detailed Menu', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users']",5,5,4,5,4,4,4,5,4,4,2,5,5,1,5,3,1,1,3,4,2,2,5,甘の季節,83,19,7,emotional,3.5
179,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Pricing', 'Detailed Menu']",3,1,1,2,2,1,2,2,4,1,5,1,2,3,3,4,2,0,2,3,2,1,5,合益泰小食,41,7,14,stable,3.5
180,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Appealing images', 'Comments from Other Users', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu']",5,5,5,4,5,5,4,4,4,4,1,5,5,2,5,1,2,1,1,2,5,3,4,文記車仔麵,85,19,6,emotional,3.5
181,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Comments from Other Users', 'Pricing', 'Detailed Menu', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",2,2,2,2,2,4,2,4,1,2,2,3,3,3,4,5,5,0,3,3,2,2,3,劉森記麵家,47,12,15,stable,3.5
182,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Pricing', 'Comments from Other Users', 'Detailed Menu', 'Appealing images', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",5,5,4,5,4,5,4,4,4,3,1,3,5,1,5,2,1,0,3,5,2,1,5,麥奀記,81,16,5,emotional,3.5
183,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Detailed Menu', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",5,5,4,4,5,4,5,4,5,5,2,5,5,1,5,3,1,1,4,5,2,1,5,譚仔米線,84,20,7,emotional,4.0
184,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",5,5,3,5,4,3,4,4,5,3,1,4,3,3,5,1,1,0,2,4,2,4,5,鏞記酒家,80,15,6,emotional,3.5
185,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Comments from Other Users', 'Pricing', 'Discounts or Promotions', 'Rating', 'Appealing images']",5,5,5,3,5,4,4,5,5,5,1,5,4,1,5,2,2,0,4,3,2,2,1,蓮香居,81,19,6,emotional,3.5
186,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu', 'Appealing images', 'Rating', 'Pricing']",5,4,5,4,5,4,3,4,4,5,2,3,3,2,3,1,1,1,2,5,3,2,1,坤記糕品,73,14,6,emotional,3.0
187,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",5,5,3,3,4,5,4,5,4,3,3,1,2,4,2,4,5,1,3,4,3,5,5,華記小食,64,8,16,stable,3.5
188,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Appealing images']",4,4,5,4,5,4,5,5,5,5,1,4,5,2,4,1,2,0,2,4,3,5,3,金華冰廳,85,18,6,emotional,3.5
189,1,1,"['Pricing', 'Appealing images', 'Comments from Other Users', 'Food Descriptions']","['Appealing images', 'Pricing', 'Detailed Menu', 'Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",4,4,5,3,5,5,5,3,4,5,1,4,5,1,4,3,3,1,7,1,4,5,4,維記咖啡粉麵,81,18,8,emotional,3.5
190,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",5,4,5,5,4,3,4,5,5,5,1,3,4,1,4,2,1,1,3,4,2,4,3,強記美食,82,16,5,emotional,3.5
191,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Comments from Other Users']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",1,1,2,1,4,3,2,2,4,1,4,3,4,5,2,4,2,1,2,4,2,2,4,波記燒臘,45,10,15,stable,3.5
192,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Appealing images']",1,1,1,2,2,3,3,4,2,5,2,4,4,3,4,2,1,0,2,3,2,4,3,第三代肥仔小食店,59,17,8,emotional,4.0
193,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Comments from Other Users', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu', 'Appealing images']",4,5,4,3,4,5,4,5,5,4,2,4,5,1,3,3,1,1,3,3,2,4,4,媽咪雞蛋仔,80,16,7,emotional,4.0
194,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Pricing', 'Comments from Other Users', 'Detailed Menu', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images']",5,5,5,5,3,4,4,5,4,4,2,5,4,1,4,1,2,1,2,3,2,2,5,佳佳甜品,82,17,6,emotional,3.5
195,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Detailed Menu', 'Discounts or Promotions']","['Comments from Other Users', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Rating', 'Discounts or Promotions', 'Pricing', 'Appealing images', 'Detailed Menu']",4,3,5,3,5,3,4,4,3,4,2,5,3,2,4,2,3,0,2,4,3,4,1,蘭芳園,70,16,9,emotional,3.0
196,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu', 'Pricing', 'Appealing images']",5,5,5,4,5,3,5,5,4,4,1,4,4,1,4,1,1,1,6,1,2,3,4,滿記甜品,84,16,4,emotional,3.5
197,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Detailed Menu', 'Pricing', 'Appealing images']",2,1,3,3,3,3,3,1,2,2,3,1,4,3,2,3,4,0,7,1,4,4,5,興記菜館,50,9,13,stable,3.0
198,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",5,5,3,3,3,5,4,4,5,5,3,5,5,3,5,3,1,0,6,1,3,1,5,金華冰廳,77,20,10,emotional,3.5
199,1,1,"['Pricing', 'Appealing images', 'Detailed Menu', 'Food Descriptions']","['Comments from Other Users', 'Detailed Menu', 'Appealing images', 'Pricing', 'Restaurant Information (e.g. Introduction, Address, Opening Hours etc)']",4,1,1,4,2,2,1,1,1,4,1,4,4,1,3,2,1,1,7,1,4,5,1,鳳城酒家,57,15,5,emotional,3.5
200,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",2,4,1,1,2,3,1,1,1,1,5,1,2,4,1,4,4,1,3,4,3,4,2,波記燒臘,34,5,17,stable,3.5
201,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Rating']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Appealing images', 'Pricing', 'Detailed Menu']",4,5,5,4,4,5,3,5,4,4,1,4,4,2,3,1,3,0,3,4,2,4,4,蘭芳園,79,15,7,emotional,3.0
202,1,1,"['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing', 'Appealing images', 'Discounts or Promotions']","['Restaurant Information (e.g. Introduction, Address, Opening Hours etc)', 'Pricing']",2,1,1,2,1,1,2,3,2,4,1,4,5,2,3,2,1,1,4,4,3,4,2,新斗記,55,16,6,emotional,3.5
